Gender,GenderCode,Age,Height,Weight,HeartRate,ExerciseNameENG,ExerciseNameUKR,ExerciseID,Duration,Calories
male,0,33,173,73,78,Watering lawn or garden,Полив газону або саду,22,7,12
male,0,42,190,88,83,Watering lawn or garden,Полив газону або саду,22,3,10
female,1,62,159,59,106,"Cycling, >20 mph, racing","Велоспорт, >30 км/год, перегони",14,29,195
male,0,38,171,75,81,Watering lawn or garden,Полив газону або саду,22,2,5
male,0,20,183,88,97,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,16,69
female,1,25,160,59,102,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,24,136
female,1,24,165,59,91,"Aerobics, general","Аеробіка, загальна",1,18,80
female,1,42,165,68,93,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,22,107
male,0,22,182,84,114,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,29,200
female,1,74,158,59,93,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,10,56
female,1,70,154,59,88,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,10,50
female,1,26,182,80,96,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,21,100
male,0,44,184,86,114,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,25,200
male,0,61,183,86,81,Watering lawn or garden,Полив газону або саду,22,1,4
female,1,68,157,57,92,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,13,70
female,1,61,176,70,104,Stair machine,Тренажер-сходинки,29,20,127
male,0,63,179,80,108,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,25,197
female,1,54,171,66,98,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,20,113
female,1,54,169,66,80,Watering lawn or garden,Полив газону або саду,22,3,11
female,1,47,155,55,93,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,16,82
male,0,33,184,86,86,Watering lawn or garden,Полив газону або саду,22,8,26
female,1,24,171,66,105,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,24,141
male,0,24,195,98,96,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,20,92
male,0,48,152,59,79,Watering lawn or garden,Полив газону або саду,22,2,5
male,0,35,193,93,83,Watering lawn or garden,Полив газону або саду,22,10,30
male,0,21,168,71,78,Watering lawn or garden,Полив газону або саду,22,3,3
female,1,21,179,73,90,Mild stretching,Легка розтяжка,19,9,37
female,1,22,158,62,105,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,25,147
female,1,69,174,69,80,Watering lawn or garden,Полив газону або саду,22,2,8
male,0,53,191,101,106,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,21,159
female,1,68,155,58,100,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,15,93
female,1,69,164,65,113,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,23,173
male,0,28,198,101,95,"Golf, walking and pulling clubs",Гольф,16,19,89
male,0,70,188,89,82,Watering lawn or garden,Полив газону або саду,22,7,31
female,1,36,170,64,84,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,9,35
female,1,77,177,80,98,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,16,94
female,1,32,167,63,99,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,9,49
female,1,62,185,77,84,"Calisthenics, light","Кальстеніка, легка",18,13,54
female,1,64,151,56,97,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,20,117
male,0,45,175,79,104,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,27,173
male,0,45,158,61,97,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,20,99
female,1,22,177,71,93,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,10,45
male,0,45,169,69,113,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,22,166
female,1,66,174,69,111,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,28,202
male,0,31,182,83,101,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,20,107
female,1,57,163,68,109,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,29,199
male,0,53,192,93,90,Watering lawn or garden,Полив газону або саду,22,5,25
female,1,22,179,67,77,Watering lawn or garden,Полив газону або саду,22,8,23
male,0,67,192,92,108,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,24,200
female,1,27,168,64,76,Watering lawn or garden,Полив газону або саду,22,2,6
male,0,57,178,83,79,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,49,168,68,99,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,20,113
female,1,39,168,63,108,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,29,188
male,0,47,165,72,96,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,20,103
male,0,62,197,101,103,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,17,128
male,0,41,187,89,99,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,23,130
female,1,34,144,50,83,Mild stretching,Легка розтяжка,19,7,27
female,1,40,163,62,111,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,27,185
female,1,55,155,57,92,Unicycling,Їзда на одноколісному велосипеді,17,11,57
male,0,44,189,88,94,"Calisthenics, light","Кальстеніка, легка",18,13,65
female,1,45,160,60,99,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,16,91
female,1,49,164,64,105,Stair machine,Тренажер-сходинки,29,19,120
female,1,46,166,68,101,Unicycling,Їзда на одноколісному велосипеді,17,12,70
male,0,25,202,100,94,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,9,39
male,0,68,171,80,95,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,22,136
female,1,25,169,64,101,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,14,77
female,1,31,174,67,93,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,9,42
male,0,57,184,91,95,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,7,41
female,1,27,159,59,88,Unicycling,Їзда на одноколісному велосипеді,17,14,59
male,0,40,201,98,110,Stair machine,Тренажер-сходинки,29,24,179
female,1,57,171,74,73,Watering lawn or garden,Полив газону або саду,22,2,6
female,1,23,155,62,74,Watering lawn or garden,Полив газону або саду,22,5,13
male,0,23,189,87,110,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,23,147
male,0,43,183,88,107,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,26,180
male,0,74,201,107,96,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,14,101
female,1,45,158,53,106,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,23,150
female,1,31,165,60,115,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,25,179
male,0,21,195,93,93,Watering lawn or garden,Полив газону або саду,22,6,23
male,0,50,190,96,80,Watering lawn or garden,Полив газону або саду,22,3,10
male,0,39,175,74,93,Mild stretching,Легка розтяжка,19,9,39
male,0,57,169,81,112,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,30,247
female,1,26,159,53,92,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,89
male,0,34,181,83,102,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,25,141
female,1,55,160,62,87,Watering lawn or garden,Полив газону або саду,22,4,18
female,1,52,171,67,89,Unicycling,Їзда на одноколісному велосипеді,17,15,70
male,0,21,188,90,110,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,29,185
female,1,20,136,45,94,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,11,54
female,1,79,152,60,107,"Cross country skiing, uphill","Лижні перегони, вгору",20,29,207
male,0,21,189,91,114,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,27,189
male,0,50,171,74,82,Watering lawn or garden,Полив газону або саду,22,2,6
female,1,29,180,76,97,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,12,60
male,0,22,194,92,92,Watering lawn or garden,Полив газону або саду,22,6,23
female,1,28,158,60,113,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,27,186
male,0,38,188,93,104,Stair machine,Тренажер-сходинки,29,28,178
male,0,23,169,73,102,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,25,122
female,1,68,159,68,108,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,24,166
male,0,79,176,86,102,Stair machine,Тренажер-сходинки,29,20,158
female,1,35,182,70,83,Watering lawn or garden,Полив газону або саду,22,2,7
male,0,67,201,96,105,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,18,143
female,1,21,156,52,82,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,12,43
female,1,44,143,49,92,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,17,86
female,1,43,175,72,100,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,23,128
male,0,21,186,79,111,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,29,182
female,1,32,170,70,98,"Calisthenics, light","Кальстеніка, легка",18,10,52
male,0,79,179,91,107,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,27,236
male,0,51,192,96,97,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,19,114
female,1,60,174,67,99,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,11,64
male,0,49,184,86,103,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,26,171
male,0,46,179,84,82,Watering lawn or garden,Полив газону або саду,22,6,19
female,1,35,149,54,111,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,21,144
male,0,31,172,76,94,Mild stretching,Легка розтяжка,19,9,37
male,0,42,185,78,110,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,26,185
female,1,66,174,69,87,"Golf, walking and pulling clubs",Гольф,16,13,60
male,0,52,189,90,96,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,22,127
male,0,59,166,73,101,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,23,149
male,0,23,169,71,102,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,16,78
female,1,49,164,63,91,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,5,24
female,1,25,157,57,107,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,23,143
male,0,20,188,84,104,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,27,143
female,1,28,163,66,94,Unicycling,Їзда на одноколісному велосипеді,17,15,71
male,0,60,182,90,90,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,11,58
female,1,29,178,77,95,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,15,71
male,0,40,184,87,88,Watering lawn or garden,Полив газону або саду,22,5,20
male,0,26,191,93,96,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,17,78
female,1,26,176,76,97,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,19,93
male,0,25,158,58,90,Watering lawn or garden,Полив газону або саду,22,6,17
female,1,60,190,87,84,Watering lawn or garden,Полив газону або саду,22,3,12
male,0,25,181,81,101,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,23,115
female,1,39,165,65,106,Stair machine,Тренажер-сходинки,29,19,119
female,1,30,153,53,108,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,26,168
male,0,23,198,100,90,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,12,44
female,1,37,148,51,108,"Running, 10.9 mph (5.5 min mile)","Біг, 17 км/год",8,29,192
female,1,22,147,47,101,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,17,96
female,1,26,170,68,105,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,23,135
female,1,56,167,60,86,"Golf, walking and pulling clubs",Гольф,16,12,54
male,0,43,171,79,115,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,30,239
female,1,38,169,65,94,Unicycling,Їзда на одноколісному велосипеді,17,14,69
male,0,24,179,80,90,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,14,46
female,1,25,164,63,101,Stair machine,Тренажер-сходинки,29,21,115
female,1,31,163,62,88,Watering lawn or garden,Полив газону або саду,22,4,17
female,1,54,151,57,115,"Cycling, >20 mph, racing","Велоспорт, >30 км/год, перегони",14,25,190
female,1,34,190,91,89,Mild stretching,Легка розтяжка,19,12,48
female,1,28,176,72,112,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,27,178
male,0,24,191,95,88,Watering lawn or garden,Полив газону або саду,22,6,20
female,1,27,167,69,90,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,15,64
female,1,35,154,57,94,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,95
male,0,49,183,89,111,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,25,196
male,0,36,185,91,91,Watering lawn or garden,Полив газону або саду,22,2,9
female,1,58,192,83,101,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,18,105
female,1,40,157,61,92,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,12,58
male,0,31,179,77,97,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,24,111
male,0,50,182,86,101,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,17,108
male,0,36,202,109,87,Watering lawn or garden,Полив газону або саду,22,6,24
female,1,34,163,61,96,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,13,67
female,1,78,153,54,84,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,13,62
male,0,41,178,76,104,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,28,172
male,0,41,172,71,87,Watering lawn or garden,Полив газону або саду,22,7,24
male,0,24,178,77,98,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,19,84
female,1,67,173,69,105,Stair machine,Тренажер-сходинки,29,20,132
female,1,47,179,75,110,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,25,167
female,1,42,154,52,101,Stair machine,Тренажер-сходинки,29,17,101
female,1,25,180,75,97,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,23,113
male,0,25,179,78,101,Unicycling,Їзда на одноколісному велосипеді,17,17,84
female,1,58,165,68,88,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,6,28
male,0,68,191,98,99,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,22,157
male,0,24,181,91,97,"Calisthenics, light","Кальстеніка, легка",18,14,64
male,0,38,192,92,104,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,21,133
female,1,26,164,59,108,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,23,145
male,0,64,178,83,103,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,24,174
female,1,49,174,75,93,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,7,34
female,1,73,158,57,103,"Cross country skiing, uphill","Лижні перегони, вгору",20,29,193
male,0,27,180,86,107,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,24,147
male,0,66,171,72,105,Stair machine,Тренажер-сходинки,29,18,133
male,0,39,199,104,101,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,26,161
female,1,30,168,62,76,Watering lawn or garden,Полив газону або саду,22,6,18
male,0,76,187,96,96,"Golf, walking and pulling clubs",Гольф,16,12,85
male,0,60,193,90,95,Unicycling,Їзда на одноколісному велосипеді,17,15,90
male,0,54,188,90,108,Stair machine,Тренажер-сходинки,29,23,176
female,1,49,166,66,89,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,11,51
female,1,24,173,66,82,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,7,24
female,1,28,161,57,83,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,6,22
male,0,72,197,102,106,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,25,212
male,0,32,171,78,112,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,29,201
female,1,36,159,59,93,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,17,83
male,0,65,204,103,93,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,14,87
female,1,36,163,67,97,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,27,141
female,1,32,159,63,103,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,23,134
male,0,42,180,84,80,Watering lawn or garden,Полив газону або саду,22,2,5
male,0,34,191,94,109,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,29,201
male,0,34,181,78,86,Watering lawn or garden,Полив газону або саду,22,3,9
male,0,26,191,86,83,Watering lawn or garden,Полив газону або саду,22,8,20
male,0,31,203,105,113,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,29,221
female,1,64,157,63,105,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,17,112
male,0,34,185,93,99,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,20,108
male,0,63,204,112,110,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,29,257
male,0,44,194,87,108,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,27,192
male,0,36,190,96,90,"Calisthenics, light","Кальстеніка, легка",18,17,72
male,0,41,173,71,104,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,28,169
male,0,73,168,77,97,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,18,120
male,0,31,186,85,106,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,28,172
male,0,22,179,73,84,Watering lawn or garden,Полив газону або саду,22,10,21
female,1,34,161,56,102,Stair machine,Тренажер-сходинки,29,18,105
female,1,21,168,65,109,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,25,156
female,1,22,145,50,89,Watering lawn or garden,Полив газону або саду,22,3,13
male,0,33,190,97,100,"Aerobics, general","Аеробіка, загальна",1,24,134
female,1,51,157,60,103,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,21,130
male,0,45,195,99,83,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,33,175,67,101,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,25,140
male,0,47,198,97,91,Watering lawn or garden,Полив газону або саду,22,7,34
female,1,70,175,74,79,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,9,34
female,1,77,160,63,92,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,8,44
female,1,35,172,71,85,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,11,42
female,1,44,161,60,89,Watering lawn or garden,Полив газону або саду,22,2,9
female,1,71,164,60,97,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,18,107
female,1,54,174,75,87,Mild stretching,Легка розтяжка,19,9,39
female,1,63,166,68,108,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,26,178
female,1,50,149,55,101,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,13,79
male,0,63,200,105,102,Unicycling,Їзда на одноколісному велосипеді,17,15,113
female,1,30,163,58,109,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,22,143
female,1,33,163,57,84,Watering lawn or garden,Полив газону або саду,22,4,16
male,0,38,189,91,100,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,24,137
male,0,20,183,81,97,"Golf, walking and pulling clubs",Гольф,16,17,71
female,1,67,159,62,94,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,13,72
male,0,24,188,90,103,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,14,76
male,0,30,197,103,109,Stair machine,Тренажер-сходинки,29,27,187
female,1,35,145,49,103,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,18,109
female,1,63,176,79,111,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,29,204
female,1,50,157,60,91,Mild stretching,Легка розтяжка,19,6,29
male,0,33,200,101,98,"Golf, walking and pulling clubs",Гольф,16,17,91
female,1,36,163,58,84,Watering lawn or garden,Полив газону або саду,22,4,16
male,0,75,187,97,84,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,7,36
male,0,56,184,93,97,"Golf, walking and pulling clubs",Гольф,16,13,80
female,1,50,182,75,111,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,22,151
male,0,24,183,80,116,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,27,195
female,1,32,172,72,80,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,8,26
male,0,49,193,100,99,"Aerobics, general","Аеробіка, загальна",1,22,138
female,1,77,170,65,89,Watering lawn or garden,Полив газону або саду,22,3,15
male,0,67,171,75,97,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,120
male,0,23,182,81,112,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,30,197
male,0,37,192,95,98,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,21,114
female,1,35,163,59,107,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,20,127
male,0,34,185,83,97,"Aerobics, general","Аеробіка, загальна",1,23,112
female,1,49,168,67,98,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,21,116
female,1,69,156,61,83,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,8,35
male,0,49,194,101,103,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,16,110
female,1,41,150,51,95,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,22,117
male,0,42,195,95,105,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,17,115
male,0,52,188,93,107,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,21,157
female,1,26,158,60,91,"Golf, walking and pulling clubs",Гольф,16,12,54
female,1,79,178,80,104,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,25,163
male,0,72,172,82,107,Stair machine,Тренажер-сходинки,29,19,156
male,0,34,195,92,91,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,10,42
female,1,60,152,50,89,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,7,35
female,1,45,158,57,91,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,7,34
male,0,33,188,92,98,Unicycling,Їзда на одноколісному велосипеді,17,19,99
male,0,56,192,97,109,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,20,161
female,1,21,153,54,94,"Calisthenics, light","Кальстеніка, легка",18,8,38
female,1,50,161,61,99,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,18,104
male,0,60,184,86,105,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,27,200
male,0,39,162,72,108,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,28,183
male,0,48,175,75,110,Stair machine,Тренажер-сходинки,29,19,140
female,1,38,163,65,97,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,19,100
male,0,54,190,95,110,Stair machine,Тренажер-сходинки,29,22,178
male,0,23,195,89,104,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,27,150
female,1,72,164,68,94,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,15,83
male,0,47,179,79,74,Watering lawn or garden,Полив газону або саду,22,6,12
